제목,링크,내용
<b>어린이보호구역</b> 단속카메라 절반은 '먹통'…경찰·지자체 '방치',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005636402,어린이보호구역의 교통사고 예방을 위한 이른바 민식이법 시행 이후 스쿨존 내에 과속단속카메라 설치는 크게 늘었지만 상당수가 무용지물인 것으로 나타났다 일 국회 행정안전위원회 소속 이형석 더불어민주당 
<b>어린이 보호구역</b>서 아이 들이받은 역주행 오토바이…누리꾼들 &quot;운전자 입장도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004977787,아이들도 항상 주위를 잘 살피고 안전할 때 건너야 한다는 걸 부모들이 잘 교육할 필요성이 있는 영상 민식이법 논하기 전에 어린이보호구역 내 불법주차 차량을 강력단속하는 것이 먼저다 불법을 저지르고 있는 차들을 
금호타이어, '<b>어린이</b> 교통안전교육' 진행,http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=03&c1=03&c2=03&c3=00&nkey=202109301046191,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
&quot;이곳은 칠보치마 <b>보호구역</b>입니다&quot;... 한강유역청, 서식지 안내판 설치,http://www.joongdo.co.kr/web/view.php?key=20211001010000047,수원시는 올해 월 본 서식지를 야생생물 보호구역으로 지정고시 하였으나 서식지 보호에 한계가 있어 찾는 어린이들에게 자연보전의 중요성을 교육하는 효과도 있을 것으로 보인다조희송 한강유역환경청장은 
금호타이어, 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000626474,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://sports.hankooki.com/lpage/economy/202109/sp20210930093453136980.htm?s_ref=nv,금호타이어가 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
DB손보, <b>어린이보호구역</b> 옐로카펫 100곳에 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004974326,손해보험은 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치와 소외계층 지원을 위한 사랑나눔 봉사협약을 체결했다고 일 밝혔다 옐로 카펫은 횡단보도 신호대기공간을 노란색으로 바꿔서 
금호타이어, ‘<b>어린이</b> 교통안전교육’… 전국 초등학생 대상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=417&aid=0000739455,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
CJ대한통운, <b>어린이</b> 등하굣길 ‘노란발자국’ 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004974890,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치 작업은 군포시청 
초고령사회 맞아 노인<b>보호구역</b>(실버존) 확대 시급,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003219653,이는 어린이보호구역이 여곳 지정된 것에 비해 상대적으로 부족하다는 지적이다 전북도는 지난 년 실버존 확대를 위해 빅데이터 분석을 통한 노인교통사고 위험지역 곳을 우선선정했지만 이 중 올해 단 
CJ대한통운, <b>어린이</b> 등하굣길에 '노란발자국' 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000625982,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
태백시, <b>어린이 보호구역</b> 노란색 신호등 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002212167,또한 년 황지초 어린이보호구역 내 경보등 개 설치한 것을 시작으로 년 노란색 신호등을 상장초등학교 곳 개 중앙초등학교 곳 개를 설치했으며 올해에는 철암초등학교 곳 개를 설치 완료했다 시 
홍성군, '<b>어린이 보호구역</b> 교통안전 캠페인' 추진,http://www.nspna.com/news/?mode=view&newsid=529485,이들은 주변 운전자들을 대상으로 어린이보호구역 내 규정속도 준수 불법 주정차 금지 등 기초 교통안전 수칙을 집중적으로 홍보하며 안전 우선의 교통문화 정착을 위한 분위기 조성에 나섰다 육헌근 
홍성군, <b>어린이 보호구역</b> 교통안전 민·관합동 캠페인 실시,https://www.ccdailynews.com/news/articleView.html?idxno=2085045,이들은 주변 운전자들을 대상으로 어린이보호구역 내 규정속도 준수 불법 주정차 금지 등 기초 교통안전 수칙을 집중적으로 홍보하며 안전 우선의 교통문화 정착을 위한 분위기 조성에 나섰다 육헌근 건설교통과장은 
<b>어린이 보호구역</b> 네 모녀 사상 화물기사, 2심 감형,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010740386,기사내용 요약징역 년년 개월 합의한 점 등 두루 고려 어린이 보호구역 횡단보도에서 네 모녀를 치어 사상케 한 혐의로 기소된 화물차 기사가 항소심에서 감형받았다 광주고법 제형사부위광하박정훈성충용 
CJ대한통운, 안전한 <b>어린이</b> 등하굣길 위해 팔 걷어,http://www.ajunews.com/view/20210928100118152,이보미 기자  대한통운이 경기도 군포시 어린이보호구역에 노란발자국을 설치하고 있다 사진대한통운 제공  대한통운은 굿네이버스와 함께 경기도 군포 지역 내 어린이집과 초등학교 등 어린이 
DB손해보험, <b>어린이</b> 교통안전 지원 협약 체결,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002971654,손해보험대표 김정남은 초록우산어린이재단회장 이제훈과 어린이보호구역 교통안전을 위한 옐로카펫 설치와 소외계층 지원을 위한 사랑 나눔 봉사 협약을 체결했다고 일 밝혔다 손해보험이 추진하는 옐로카펫 
금호타이어 전국 초등생 대상 '<b>어린이</b> 교통안전교육' ,http://www.gjdream.com/news/articleView.html?idxno=610461,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
<b>어린이보호구역</b>서 일가족 사상케 한 트럭운전자 항소심서 감형,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003557061,어린이보호구역에서 일가족 명을 들이받아 명을 숨지게 한 혐의로 재판에 넘겨진 대 트럭운전자가 항소심에서 감형받았다 광주고등법원 형사부위광하 박정훈 성충용 고법판사는 일 특정범죄 가중처벌 등에 
인천시, <b>어린이보호구역</b> 주차난 해결에 집중,http://news.lghellovision.net/news/newsView.do?soCode=SC70000000&idx=320105,주차장법 개정으로 어린이보호구역 내 노상주차장이 폐지돼 지역에서는 주차 문제가 제기되고 있는데요 인천시가 이에 대한 대책 마련에 나섰습니다 주차 문제 해결 팀을 구성한 인천시는 공공기관 부설 주차장을 
CJ대한통운, 군포 <b>어린이 보호구역</b>에 ‘노란발자국’ 부착,http://www.nextdaily.co.kr/news/article.html?id=20210928800020,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치 작업은 군포시청 
&quot;안성 <b>어린이</b>의 소중한 생명과 안전 우리가 지키겠습니다&quot;,http://www.kyeonggi.com/news/articleView.html?idxno=2382847,이날 이들은 어린이보호구역 내 교통문화 질서 확립은 물론 안전한 교통환경을 조성해 나가고자 모두 한자리에 모였다 이들은 운전자와 학부모 학생에게 안전한 횡단보도 걷기 좌우 살피기 손들고 걷기 안전속도 
CJ대한통운, <b>어린이</b> 등하굣길 안전 책임진다,https://www.ebn.co.kr/news/view/1501921/?sc=Naver,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 설치 작업은 다음달 중순까지 순차 진행될 
홍성군, <b>어린이 보호구역</b> 교통안전 민‧관합동 캠페인 실시,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=625542,이들은 주변 운전자들을 대상으로 어린이보호구역 내 규정속도 준수 불법 주정차 금지 등 기초 교통안전 수칙을 집중적으로 홍보하며 안전 우선의 교통문화 정착을 위한 분위기 조성에 나섰다 육헌근 건설교통과장은 
DB손보, <b>어린이</b> 교통안전 위한 '옐로카펫' 설치,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021092712542826585,사진  손해보험손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫설치 및 소외계층 지원을 위한 사랑나눔봉사협약을 체결했다고 일 밝혔다어린이 교통사고 예방을 
안성시, <b>어린이</b> 교통안전 합동 캠페인 전개,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065597778138215, 어린이교통안전 합동캠페인 안성시시장 김보라는 월 일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서 안성녹색어머니회 안성모범운전자회 
금호타이어, 전국 초등학생 대상 ‘<b>어린이</b> 교통안전교육’ 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=018&aid=0005047969,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
DB손해보험, <b>어린이</b> 교통안전·소외계층 지원 나서,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002698169,초록우산어린이재단과 협약식 진행 초등학교 여곳에 옐로카펫 설치 손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 
안성시, <b>어린이</b> 교통안전 합동 캠페인 전개,http://www.nspna.com/news/?mode=view&newsid=529228,김병관 기자 경기 안성시시장 김보라는 일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서 안성녹색어머니회 안성모범운전자회 양진초등학교 관계자 등 
금호타이어 '<b>어린이</b> 교통안전교육' 실시,http://www.consumuch.com/news/articleView.html?idxno=53223,금호타이어에서 제작한 워크북에는 안전한 보행법어린이 보호구역에서 지켜야 할 안전수칙교통안전 표지판바퀴 달린 놀이기구의 안전한 이용법도전안전 골든벨퀴즈내가 만드는 안전한 학교 가는 
&quot;횡단보도 앞에선 멈춰요!&quot;… CJ대한통운, <b>어린이</b> 등하굣길에 '노란 발자국' ...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000738398,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
금호타이어, 전국 초등생 대상 ‘<b>어린이</b> 교통안전교육’ 실시,https://www.cnbnews.com/news/article.html?no=512465,금호타이어가 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.autodaily.co.kr/news/articleView.html?idxno=429690,금호타이어에서 제작한 워크북에는 안전한 보행법어린이 보호구역에서 지켜야 할 안전수칙교통안전 표지판바퀴 달린 놀이기구의 안전한 이용법도전안전 골든벨퀴즈내가 만드는 안전한 학교 가는 
안성시, <b>어린이</b> 교통안전 합동 캠페인 전개,http://www.kmaeil.com/news/articleView.html?idxno=308741,안성시는 월 일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서 안성녹색어머니회 안성모범운전자회 양진초등학교 관계자 등 유관기관협력단체 약 명과 
검찰, '<b>어린이보호구역</b> 초등생 사망사고' 화물차 운전기사의 구형량 변경,http://www.kyeongin.com/main/view.php?key=20210930010005102,경인일보 검찰이 인천의 한 어린이보호구역에서 초등학생을 치어 숨지게 한 혐의를 받는 화물차 운전기사월 일자 면 보도죽음 부른 음주운전 동승자 책임은 방조까지만의 구형량을 줄였다인천지법 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.gpkorea.com/news/articleView.html?idxno=78381,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
CJ대한통운, <b>어린이</b> 교통사고 예방 앞장선다…횡단보도 ‘노란발자국’ 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002698378,대한통운은 경기도 군포시 어린이 보호구역 횡단보도에 노란발자국을 설치하고 어린이들을 위한 안전한 등하굣길 만들기에 나섰다고 일 밝혔다 이를위해 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 
CJ대한통운, 군포에 <b>어린이</b> 교통사고 예방 '노란발자국' 설치한다,http://www.newspim.com/news/view/20210928001014,대한통운이 경기도 군포시 어린이보호구역에 노란발자국을 설치하고 있다 사진대한통운 대한통운은 노란 발자국과 함께 보행자 정지선을 알리는 노란 정지선과 어린이 보호구역 표지판을 함께 설치한다 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.sisaweek.com/news/articleView.html?idxno=147657,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 
정읍경찰서, 등교시간 <b>어린이 보호구역</b> 교통지도,http://www.jjan.kr/news/articleView.html?idxno=2117830,정읍경찰서서장 장명본는 일 자치경찰활동의 일환으로 어린이보호구역 내 교통사고예방과 등굣길 어린이 보행안전을 위한 교통안전활동을 실시했다 이날 교통경찰들이 등교시간에 맞춰 안전한 통학로를 조성하기 
계양구 2021년 <b>어린이보호구역</b> 내 횡단보도 LED투광기 설치공사 시행,http://www.kmaeil.com/news/articleView.html?idxno=309186,어린이보호구역 내 횡단보도 투광기 사진제공계양구청 인천광역시 계양구구청장 박형우는 안전한 보행환경을 조성하고 교통사고 예방을 위해 어린이보호구역 내 횡단보도 투광기를 설치한다고 일 밝혔다 
CJ대한통운, 군포지역 <b>어린이</b> 등하굣길 ‘노란발자국’ 부착,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109281127249540270,개소에 정지선 보호구역 표지판과 함께 설치 대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 일 대한통운에 따르면 
박상준 메디컬아이피 대표, <b>어린이</b> 교통안전 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004857047,어린이 교통안전 릴레이 챌린지는 행정안전부와 교육부 주최로 어린이 보호구역 내 사고 예방과 어린이 교통안전을 최우선으로 하는 운전 문화 정착을 위해 마련된 공익 캠페인이다 박 대표는 일단 멈춤 이쪽 
CJ대한통운, <b>어린이</b> 등하굣길에 ‘노란발자국’ 부착,https://www.cnbnews.com/news/article.html?no=512038, 씨앤비시앤비뉴스씨앤비뉴스 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 
CJ대한통운, 군포에 <b>어린이</b> 안전 위한 '노란발자국' 설치,http://www.klnews.co.kr/news/articleView.html?idxno=302560,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란발자국을 설치한다고 일 밝혔다 이번 설치 작업은 군포시청 군포경찰서와 협력을 
CJ대한통운, 군포지역 <b>어린이</b> 등하굣길 '노란발자국' 부착,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465025,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치는 군포시청 군포경찰서와 
DB손해보험, 옐로카펫 100여개 설치...<b>어린이</b> 교통안전 및 소외계층 지원,https://daily.hankooki.com/lpage/finance/202109/dh20210927112834148330.htm?s_ref=nv,사회공헌활동 통해 고객 행복 기여와 기업의 사회적 책임 다할 것 손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 
&quot;<b>어린이</b>가 먼저인 교통문화 조성&quot;…안성시, '<b>어린이</b> 교통안전 합동 캠페인' 전...,http://www.joongboo.com/news/articleView.html?idxno=363505306,일 시에 따르면 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 양진초등학교 앞에서 안성경찰서 안성녹색어머니회 안성모범운전자회 양진초등학교 관계자 등 유관기관협력단체 약 명과 
CJ대한통운, 군포 지역 <b>어린이 보호구역</b> '노란발자국' 부착,http://www.newslock.co.kr/news/articleView.html?idxno=46625,사진 대한통운 제공 뉴스락 대한통운은경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 안전한 등하굣길 만들기에 나선다고 일 밝혔다 대한통운은굿네이버스와 함께 군포 지역 내 
DB손해보험, <b>어린이보호구역</b> 교통사고 예방 위해 '옐로카펫' 설치 지원,https://www.businesspost.co.kr/BP?command=article_view&num=251775,손해보험이 어린이보호구역 교통사고 예방과 소외계층 어린이 후원에 나섰다 손해보험은 초록우산어린이재단과 옐로카펫 설치 및 사랑나눔봉사 협약을 체결했다고 일 밝혔다 박기현 손해보험 전략기획팀장 
DB손보, <b>어린이</b> 교통안전 위한 협약 체결,http://www.shinailbo.co.kr/news/articleView.html?idxno=1464076,손해보험이 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 협약을 체결했다고 일 밝혔다 옐로 카펫은 횡단보도 신호대기공간을 노란색으로 구획화해 
CJ대한통운, <b>어린이</b> 등하굣길에 ‘노란발자국’ 부착,http://www.nspna.com/news/?mode=view&newsid=528537,이복현 기자 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다 노란 발자국 설치 작업은 군포시청 
CJ대한통운, 군포 <b>어린이 보호구역</b>에 교통안전 위한 '노란 발자국' 설치,http://www.choicenews.co.kr/news/articleView.html?idxno=85131,사진대한통운 대한통운은 일 군포 지역 어린이 보호구역 횡단보도 곳에 교통사고 예방을 돕는 노란 발자국을 설치한다고 밝혔다 대한통운에 따르면 노란 발자국은 어린이들이 횡단보도 신호대기때 
[사회 단신] CJ대한통운, <b>어린이</b> 등하굣길 ‘노란발자국’ 부착 등,http://www.lawissue.co.kr/view.php?ud=202109281809082804f4ab64559d_12, 대한통운 어린이 등하굣길 노란발자국 부착 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.lcnews.co.kr/news/articleView.html?idxno=25001,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
파주시, 초등학교 앞 <b>어린이보호구역</b> 내 CCTV 설치,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109270958417670891,불법 주정차 단속 경기 파주시시장 최종환가 금촌초등학교 능안초등학교 등 어린이보호구역 내에 불법 주정차 단속 를 설치하고 일부터 단속한다 이는 어린이보호구역 내 불법 주정차로 인한 어린이 
안성시, <b>어린이</b> 교통안전 합동 캠페인 전개,http://www.jejutwn.com/news/article.html?no=93978,안성시는 월 일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서 안성녹색어머니회 안성모범운전자회 양진초등학교 관계자 등 유관기관협력단체 약 명과 
진주경찰서, <b>어린이</b> 교통안전 릴레이 챌린지 참여,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465788,고예방가 담긴 피켓을 들고 사진 촬영한 뒤 어린이보호구역진주경찰서어린이교통안전단멈춤쪽저쪽초동안고예방어린이교통안전릴레이챌린지의 헤시태그를 설정하여 에 게시했다 다음 참여자로는 
DB손보, <b>어린이보호구역</b> 100곳에 옐로카펫 설치,https://www.fetv.co.kr/news/article.html?no=96919,손해보험은 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치와 소외계층 지원을 위한 사랑나눔 봉사협약사진을 체결했다고 일 밝혔다 손보가 추진하는 옐로카펫 설치 캠페인은 횡단보도 
홍성군, <b>어린이 보호구역</b> 교통안전 민‧관합동 캠페인 실시,http://www.jejutwn.com/news/article.html?no=95000,이들은 주변 운전자들을 대상으로 어린이보호구역 내 규정속도 준수 불법 주정차 금지 등 기초 교통안전 수칙을 집중적으로 홍보하며 안전 우선의 교통문화 정착을 위한 분위기 조성에 나섰다 육헌근 건설교통과장은 
CJ대한통운, <b>어린이</b> 등하굣길에 ‘노란발자국’ 부착…“횡단보도 앞에선 잠시...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002533167,횡단보도 건너기 전에는 잠시 멈춰요 대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운이 굿네이버스와 함께 
